参数,取值,场景数,合并D1_严格,合并D1_有效区域,合并D1_严格_occ,场景D1均值,场景D1中位,场景D1_P90,场景D1最差,EPE,有效像素比例,中位耗时s,FPS
blockSize,3,150,17.4812,3.8718,19.0268,17.3787,15.4980,26.5584,89.9343,6.1237,75.7691,0.0413,24.2051
blockSize,5,150,16.1459,3.8310,17.7165,16.0308,14.4394,24.2449,87.7899,5.5597,76.9010,0.0420,23.8060
blockSize,7,150,15.6180,4.0152,17.1984,15.5041,13.9490,23.4685,85.7924,5.3059,78.0463,0.0425,23.5041
blockSize,9,150,15.5394,4.3058,17.1214,15.4335,14.0216,23.1877,83.8597,5.2402,78.8518,0.0430,23.2428
